Number,Date,City,Type of Land,Block,Land ID,Area ( m2),Price ( kd),Lat / Long,1- Street ( Y / N),  Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration Date,ruinous,Rented,Number Of Unit,Income,Additional information
145,2014/01/05,Funtaitees,Residential,5,182,400,295000,"29.223070, 48.088686",0,1,0,0,0,0,0,16,25,9,4,0,0,0,0,0,0,0,0,0,0,0,,
146,2014/01/04,Sabah Al Ahmed Al Bahreya,Residential,A1,894,642,165000,"28.652087, 48.363715",0,1,0,0,0,0,0,16.7,40.17,7,24,0,0,0,0,0,0,0,0,0,0,0,,
147,2014/01/12,Nuzha,Residential,1,87,1000,1250000,"29.343266, 47.996608",0,1,0,0,0,0,0,25,40,7,4,0,0,0,0,0,0,0,0,0,0,0,,
148,2014/01/31,AL-Masayel,Residential,4,206,500,355000,"29.235579, 48.089871",1,0,0,0,0,0,0,20,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
149,2014/01/30,AL-Masayel,Residential,4,19,500,350000,"29.232740, 48.093095",1,0,0,0,1,0,0,20,25,5,7,0,0,0,0,0,0,0,0,0,0,0,,
150,2014/01/19,Sabah Al Ahmed Al Bahreya,Residential,A3,3079,505,230000,"28.665923, 48.334132",0,1,0,0,0,0,0,15.01,33.65,7,15,0,0,0,0,0,0,0,0,0,0,0,,
151,2014/01/13,Mansouriya,Residential,2,20,1000,1050000,"29.355553, 47.996562",0,1,0,0,0,0,0,25,40,10,4,0,0,0,0,0,0,0,0,0,0,0,,
152,2014/01/30,Funtaitees,Residential,1,100,500,285000,"29.227352, 48.094130",1,0,0,0,0,0,0,20,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,
153,2014/01/22,Sabah Al Ahmed Al Bahreya,Residential,A3,3348,540,230000,"28.656655, 48.339688",0,1,0,0,0,0,0,15,36,11,9,0,0,0,0,0,0,0,0,0,0,0,,
154,2014/01/21,Sabah Al Ahmed Al Bahreya,Residential,A3,3097,450,220000,"28.665910, 48.336939",0,1,0,0,0,0,0,15,30,9,11,0,0,1,0,0,0,0,0,0,0,0,,
155,2014/01/14,SALAM,Residential,3,643,428,545000,"29.296498, 48.015472",1,0,0,0,1,0,0,16.66,25,12,0,4,0,0,0,0,0,0,0,0,0,0,,
156,2014/01/07,Sabah Al Ahmed Al Bahreya,Residential,A3,4019,459,225000,"28.658634, 48.337748",0,1,0,0,0,0,0,15.30,30,9,11,0,0,1,0,0,0,0,0,0,0,0,,
157,2014/01/07,Sabah Al Ahmed Al Bahreya,Residential,A4,1182,450,213000,"28.643409, 48.333053",0,1,0,0,0,0,0,15,30,7,11,0,0,1,0,0,0,0,0,0,0,0,,
158,2014/02/19,Sabah Al Ahmed Al Bahreya,Residential,A2,319,1275,380000,"28.676392, 48.361916",0,1,0,0,0,0,0,F/17.77-B/16,79.33,7,11,0,0,1,0,0,0,0,0,0,0,0,,
159,2014/02/18,Sabah Al Ahmed Al Bahreya,Residential,A2,820,660,162000,"28.675661, 48.361643",0,1,0,0,0,0,0,F/18.73-B/16,38.64,7,9,0,0,0,0,0,0,0,0,0,0,0,,
160,2014/02/18,Sabah Al Ahmed Al Bahreya,Residential,A2,819,660,172000,"28.675659, 48.361814",0,1,0,1,0,1,0,F/16-B/15.78,36.40,9,7,12,0,0,0,0,0,0,0,0,0,0,,
161,2014/02/05,Dasma,Residential,6,41,400,485000,"29.364947, 48.006628",0,0,1,0,0,0,0,25,16,7,0,3,0,0,1,2,0,0,0,0,0,0,,بيت هدام
162,2014/02/11,AL-Masayel,Residential,5,303,400,300000,"29.229957, 48.086829",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
163,2014/02/02,Al Khiran,Residential,7,101,400,120000,"28.663920, 48.280284",1,0,0,0,1,0,0,16,25,5,0,0,0,0,0,0,0,0,0,0,0,0,,
164,2014/03/19,Funtaitees,Residential,1,416,375,243000,63JW+Q4H,1,0,0,0,0,0,0,15,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
165,2014/03/19,Sabah Al Ahmed Al Bahreya,Residential,A3,2843,490,228000,M87W+R62,0,1,0,0,0,0,0,16.14,30.35,7,9,0,0,0,0,0,0,0,0,0,0,0,,
166,2014/04/02,Sabah Al Ahmed Al Bahreya,Residential,A1,237,1237,260000,"28.660845, 48.369720",0,1,0,0,0,0,0,F/22.54-B/23.09,57.29,7,11,0,0,1,0,0,0,0,0,0,0,0,,
167,2014/04/02,Sabah Al Ahmed Al Bahreya,Residential,A1,237,1237,260000,"28.660967, 48.369536",0,1,0,0,0,0,0,F/12.87-B/24/55,85.86,11,11,0,0,1,0,0,0,0,0,0,0,0,,
168,18/3//2014,Abu Ftaira,Residential,6,49,400,300000,"29.193001, 48.104478",0,0,1,0,0,0,0,25,16,9,0,4,0,0,0,0,0,0,0,0,0,0,,
169,2014/04/06,Sabah Al Ahmed Al Bahreya,Residential,A3,3079,505,238000,"28.665901, 48.334134",0,1,0,0,0,0,0,15.01,33.65,7,14,0,0,1,0,0,0,0,0,0,0,0,,
170,2014/02/05,Sabah Al -Salem,investment lands,3,95,875,1225000,"29.252338, 48.081057",0,0,1,0,0,1,1,25,35,3,0,0,7,0,1,0,0,0,0,0,0,0,,
171,2014/03/26,Al Khiran,Residential,7,132,400,122000,"28.664938, 48.282426",0,1,0,0,0,1,0,16,25,4,30,0,0,0,0,0,0,0,0,0,0,0,,
172,2014/03/26,Al Khiran,Residential,2,429,400,123000,"28.670965, 48.283167",0,0,1,0,0,0,0,25,16,7,0,0,4,0,0,0,0,0,0,0,0,0,,
173,2014/04/28,Sabah Al Ahmed Al Bahreya,Residential,A2,822,660,170000,"28.675753, 48.361289",0,1,0,0,0,0,0,F/18-B/18.75,37.38,7,9,0,0,0,0,0,0,0,0,0,0,0,,
174,2014/05/01,Sabah Al Ahmed Al Bahreya,Residential,A2,824,710,172000,"28.675839, 48.360953",0,1,0,0,0,0,0,F/20.71-B/18.75,38.48,7,9,0,0,0,0,0,0,0,0,0,0,0,,
175,2014/04/27,Sabah Al Ahmed Al Bahreya,Residential,A3,3348,540,247000,"28.656655, 48.339688",0,1,0,0,0,0,0,15,36,11,9,0,0,0,0,0,0,0,0,0,0,0,,
176,2014/03/31,Shuwaikh Industrial,industrial land,2,32,987.5,840000,8WCR+5QQ,0,0,1,0,0,0,0,25,40,14,0,5,0,0,1,2,0,0,0,0,1,0,,
177,2014/05/07,Sabah Al Ahmed Al Bahreya,Residential,A3,3037,450,223000,"28.663431, 48.336189",0,1,0,0,0,0,0,F/18.30-B/15,27.03,9,17,0,0,0,0,0,0,0,0,0,0,0,,
178,2014/06/04,Funtaitees,Residential,6,402,400,248000,"29.217054, 48.096396",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
179,2014/06/01,Funtaitees,Residential,6,404,400,248000,"29.216990, 48.096240",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
180,2014/05/19,Funtaitees,Residential,4,411,375,280000,"29.222472, 48.094386",0,1,0,0,0,0,0,15,25,4,3,0,0,0,0,0,0,0,0,0,0,0,,
181,2014/05/19,Funtaitees,Residential,4,410,375,280000,"29.222587, 48.094331",0,1,0,0,0,0,0,15,25,4,3,0,0,0,0,0,0,0,0,0,0,0,,
182,2014/07/01,Sabah Al Ahmed Al Bahreya,Residential,A3,4149,491,290000,M86X+QGP,0,1,0,0,0,0,0,F/20-B/24.31,23.40,9,9,0,0,1,0,0,0,0,0,0,0,0,,
183,2014/07/03,Abu Ftaira,Residential,1,23,400,305000,"29.203542, 48.099130",0,1,0,0,0,0,1,16,25,4,4,0,0,0,0,0,0,0,0,0,0,0,,
184,2014/07/03,Abu Ftaira,Residential,1,24,400,305000,"29.203685, 48.099104",0,1,0,0,0,0,1,16,25,4,4,0,0,0,0,0,0,0,0,0,0,0,,
185,2014/07/13,AL-Masayel,Residential,5,207,400,340000,"29.232377, 48.085353",1,0,0,0,1,1,0,16,25,4,0,0,6,0,0,0,0,0,0,0,0,0,,
186,2014/07/24,AL-Masayel,Residential,6,68,500,700000,"29.251765, 48.091751",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
187,2014/07/01,Abu Ftaira,Residential,1,196,400,250000,"29.206517, 48.096059",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
188,2014/08/07,Funtaitees,Residential,1,159,500,420000,"29.228977, 48.095344",0,1,0,0,1,0,1,20,25,6,4,0,0,0,0,0,0,0,0,0,0,0,,
189,2014/08/03,Funtaitees,Residential,3,337,500,300000,"29.213406, 48.101358",1,0,0,0,0,0,0,20,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
190,2014/08/07,Funtaitees,Residential,6,121,500,450000,"29.215607, 48.098868",0,0,0,1,0,0,0,20,25,5,13,10,0,0,0,0,0,0,0,0,0,0,,
191,2014/06/08,Sabah Al Ahmed Al Bahreya,Residential,A3,2826,465,259000,"28.663561, 48.347181",0,1,0,0,0,0,0,15.11,30.78,8,13,0,0,0,0,0,0,0,0,0,0,0,,
192,2014/07/08,Funtaitees,Residential,4,412,375,295000,"29.222472, 48.094386",0,1,0,0,0,1,1,15,25,4,3,11,0,0,0,0,0,0,0,0,0,0,,
193,2014/08/14,AL-Masayel,Residential,5,459,400,395000,63JQ+GF4,0,0,1,0,0,0,0,16,25,5,0,8,0,0,0,0,0,0,0,0,0,0,,
194,2014/09/13,AL-Masayel,Residential,4,422,400,405000,"29.232244, 48.092638",0,1,0,0,0,0,0,16,25,11,5,0,0,0,0,0,0,0,0,0,0,0,,
195,2014/09/14,AL-ADAN,Residential,2,660,400,410000,"29.234982, 48.061266",1,0,0,0,0,0,0,17,22.60,7,0,0,0,0,0,0,0,0,0,0,0,0,,
196,2014/09/14,DAIYA,Residential,42,222,400,490000,,1,,,,,,,,,,,,,,,,,,,,,,,
197,2014/09/03,Jabriya,Residential,12,428,400,285000,"29.318892, 48.043769",1,0,0,0,0,0,0,20,20,4,0,0,0,0,0,0,0,0,0,0,0,0,,
198,2014/08/24,Salmiya,investment lands,210,23,850.5,1394000,,1,,,,,,,,,,,,,,,,,,,,,,,
199,2014/06/03,Funtaitees,Residential,4,409,375,320000,"29.222730, 48.094309",0,0,0,1,0,0,0,15,25,4,4,12,0,0,0,0,0,0,0,0,0,0,,
200,2014/10/28,QADSIYA,Residential,9,40,500,460000,"29.349001, 48.006832",1,0,0,0,0,0,0,20,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,بيت هدام
201,2014/06/17,Zahra,Residential,6,33,600,492500,Abdullah AlShareedah,1,0,0,0,1,1,0,20,30,4,0,4,0,0,0,0,0,0,0,0,0,0,,
202,2014/11/16,Funtaitees,Residential,1,275,400,282000,"29.231168, 48.095813",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
203,25014/10/10,KIFAN,Residential,1,12,250,300000,,1,,,,,,,,,,,,,,,,,,,,,,,
204,,Sabah Al Ahmed Al Bahreya,Residential,A3,2134,700,360000,"28.665742, 48.331315",0,1,0,0,1,0,0,F/36.38-B/20,25.52,7,14,4,0,1,0,0,0,0,0,0,0,0,,
205,,Sabah Al Ahmed Al Bahreya,Residential,A3,2135,620,355000,"28.665916, 48.331561",0,1,0,0,0,0,0,F/22.8-B/32.78,23.69,7,14,0,0,1,0,0,0,0,0,0,0,0,,
206,2015/01/12,Sabah Al Ahmed Al Bahreya,Residential,A3,2143,700,,"28.66578, 48.33140",0,1,0,0,0,0,0,,,10,0,0,0,1,0,0,0,0,0,0,0,0,,
207,2015/01/16,Fnaitees,Residential,1,275,400,282000,"29.23117, 48.09582",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
208,2015/02/02,Sabah Al Ahmed Al Bahreya,Residential,a1,1128,536,115000,"28.65701, 48.37341",1,0,0,0,0,0,0,,,6,0,0,0,1,0,0,0,0,0,0,0,0,,
209,2015/03/07,Fnaitees,Residential,1,287,400,245000,"29.23072, 48.09557",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
210,2015/04/06,Fnaitees,Residential,8,293,400,230000,"29.212999, 48.090872",1,0,0,0,0,0,0,16,25,8,0,0,0,0,0,0,0,0,0,0,0,0,,
211,2015/04/16,Abu Ftaira,Residential,3,82,500,255000,"29.21093, 48.10196",1,0,0,0,0,0,1,20,25,9,0,0,0,0,0,0,0,0,0,0,0,0,,
212,2015/04/19,Abu Ftaira,Residential,3,493,375,265000,"29.20939, 48.10219",0,1,0,0,0,0,1,15,25,9,7,0,0,0,0,0,0,0,0,0,0,0,,
213,2015/04/30,Mishrif,Residential,5,19,1000,"1,060,000","29.27338,48.078632",0,0,0,0,0,0,1,25,40,4,0,0,20,0,1,2,1,0,0,0,0,15,,
214,2015/05/05,Alfintas,Residential,4,123,2450,"1,600,000","29.16296, 48.11107",0,1,0,0,0,0,1,"42,83-42,55","55,12/60,04",8,11,0,0,0,0,0,0,0,0,0,0,0,,walled around
215,2015/05/20,Fnaitees,Residential,8,178,400,315000,"29.217818,48.090600",0,0,0,0,0,0,0,16,25,4,0,4,0,0,0,0,0,0,0,0,0,0,,
216,2015/06/04,Sabah Al Ahmed Al Bahreya,Residential,A3,3252,500,203000,"28.67482, 48.34170",0,1,0,0,0,0,0,"16,25/16",,14,0,0,0,1,0,0,0,0,0,0,0,0,,
217,2015/06/03,Zahra,Residential,6,33,600,530000,"29.27525, 47.98920",0,0,1,0,0,1,1,20,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,
218,2015/06/25,Sabah Al Ahmed Al Bahreya,Residential,A3,3252,500,211000,"28.67482, 48.34170",0,1,0,0,0,0,0,"16,25/16",,14,0,0,0,1,0,0,0,0,0,0,0,0,,
219,2015/07/02,Salmiya,Investment building,98,30,1026,"3,025,000","29.337019,48.094224",0,1,0,0,1,0,0,25.65,40,4,4,0,0,1,1,2,0,0,0,1,1,74,,
220,2015/07/02,Salmiya,Investment building,98,31,1081,"3,025,000","29.336796,48.094111",0,1,0,0,0,0,0,"27,25",40,4,4,0,0,1,1,2,0,0,0,1,1,72,,
221,2015/07/05,Sabah Al Ahmed Al Bahreya,Residential,A4,2172,500,192000,"28.62974, 48.34178",0,1,0,0,0,0,0,"15,18/18,85",,10,0,0,0,1,0,0,0,0,0,0,0,0,,
222,2015/07/13,Fnaitees,Residential,6,264,400,345000,"29.21553, 48.09826",0,0,1,1,0,0,0,16,25,5,4,0,0,0,0,0,0,0,0,0,0,0,,
223,2015/08/12,Sabah Al Ahmed Al Bahreya,Residential,A4,1171,495,220000,"28.64205, 48.33218",0,1,0,0,0,0,0,,,11,0,0,0,1,0,0,0,0,0,0,0,0,,
224,2015/08/12,Al Khiran,Residential,2,280,400,110000,"28.67056, 48.28639",0,1,0,0,0,0,0,16,25,11,6,0,0,0,0,0,0,0,0,0,0,0,,
225,2015/08/17,Dasma,Residential,5,34,500,550000,"29.36233, 48.00234",0,0,1,0,0,0,0,20,25,6,0,0,4,0,0,0,0,0,0,1,0,0,,
226,2015/08/19,Rumaithiya,Residential,9,190,375,390000,"29.32174, 48.07192",0,0,1,0,0,0,1,15,25,4,0,0,0,0,1,2,0,0,0,0,0,27,,
227,2015/09/17,Ardhiya,Industrial coupon,2,154,1000,"1,200,000","29.296383,47.09718745",1,0,0,0,0,0,0,20,50,11,0,0,0,0,0,0,0,0,0,0,0,0,,
228,2015/09/30,Sabah Al Ahmed Al Bahreya,Residential,A4,2172,500,195000,"28.62974, 48.34178",0,1,0,0,0,0,0,"15,18/18,85",,10,0,0,0,1,0,0,0,0,0,0,0,0,,
229,2015/10/28,Sabah Al Ahmed Al Bahreya,Residential,A3,3105,522,190000,"28.66592, 48.33812",0,1,0,0,0,0,0,19.28/16.34,,13,0,0,0,1,0,0,0,0,0,0,0,0,,
230,2015/11/01,Sabah Al Ahmed Al Bahreya,Residential,A3,3105,522,200000,"28.66592, 48.33812",0,1,0,0,0,0,0,19.28/16.34,,13,0,0,0,1,0,0,0,0,0,0,0,0,,
231,2015/11/19,Mansouriya,Residential,2,1,1000,"1,200,000","29.35620, 47.99108",0,1,0,0,0,0,0,25,40,8,20,0,0,0,0,0,0,0,0,0,0,0,,
232,0215/12/08,Sabah Al Ahmed Al Bahreya,Residential,A4,2238,480,180000,"28.63455, 48.34003",0,1,0,0,0,0,0,F/16-B/15.75,,7.5,11,0,0,1,0,0,0,0,0,0,0,0,,
233,2015/11/14,Nuzha,Residential,3,310,375,640000,"29.340766,47.996309",1,0,1,0,0,0,0,25,15,4,0,0,0,0,0,0,0,0,0,0,0,0,,
234,2015/11/11,Sabah Al Ahmed Al Bahreya,Residential,A4,1063,490,193000,"28.64064, 48.33855",0,1,0,0,0,1,0,,,9,0,0,0,1,0,0,0,0,0,0,0,0,,
235,2016/01/21,Sabah Al Ahmed Al Bahreya,Residential,A4,1156,450,175000,"28.64229, 48.33306",0,1,0,0,0,1,0,15,30,11,9,0,0,1,0,0,0,0,0,0,0,0,,
236,2016/02/07,Sabah Al Ahmed Al Bahreya,Residential,A3,3843,531,115000,"28.66219, 48.32460",0,0,0,1,0,0,0,17.3,30.69,11,0,0,0,1,0,0,0,0,0,0,0,0,,
237,2016/03/12,Sabah Al Ahmed Al Bahreya,Residential,A3,3845,532,110000,"28.66249, 48.32449",0,1,0,0,0,0,0,,,9,,0,0,1,0,0,0,0,,,,,,
238,2016/03/17,Fnaitees,Residential,1,296,400,210000,"29.229873,48.095621",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,,,,,,,
239,2016/03/21,Salmiya,investment lands,147,9,769,"1,270,000","29.331619,48.089253",0,1,0,0,0,0,0,25,30.76,7,4,0,0,0,0,0,0,,,,,,,
240,2016/03/21,Salmiya,investment lands,147,8,775,"1,230,000","29.331742,48.089447",0,1,,,,,,25.21,30.76,7,4,,,,,,,,,,,,,
241,2016/03/24,Salmiya,investment lands,196,12,960,"1,500,000","29.328400,48.064567",0,1,,,1,,,25,38.4,6.5,6.5,,,,,,,,,,,,,
242,2016/03/28,Sabah Al -Salem,investment lands,2,351,1750,"2,600,000","29.256176,48.087105",0,0,1,0,0,1,1,35,50,0,0,8,14,,,,,,,,,,,
243,2016/04/10,Sabah Al Ahmed Al Bahreya,Residential,A4,1545,415,170000,"28.63808, 48.32884",0,1,0,0,0,0,0,15.09,27,10,0,0,0,1,,,,,,,,,,
244,2016/04/10,Sabah Al Ahmed Al Bahreya,Residential,A3,3096,450,180000,"28.66590, 48.33679",0,1,0,0,0,0,0,15,40,9,11,,,1,,,,,,,,,,
245,2016/05/11,Hawalli,Commercial building,68,P1,1247,"6,000,000","29.333554,48.018088",0,0,1,0,0,1,1,43,29,0,3,0,3,0,,,,,,,,,,
246,2016/06/15,Sabah Al Ahmed Al Bahreya,Residential,A3,3096,450,178000,"28.66590, 48.33679",0,1,0,0,0,0,0,15,30,9,11,0,0,1,0,0,0,0,0,0,0,0,,
247,2016/06/20,Shaab,Residential,1,8,400,"350,000","29.34650, 48.02998",1,0,0,0,0,0,0,16,25,4,0,0,0,0,,,,,,1,,6,,
248,2016/07/02,Dasma,Residential,3,59,500,"360,000","29.36259, 48.00028",1,0,0,0,0,0,0,20,25,4,0,0,0,0,,,,,,,,,,
249,2016/07/26,Jabriya,Residential,10,184,887,"600,000","29.31315, 48.03349",0,0,0,0,0,0,0,30,29.5,4.5,0,0,4,0,1,,,,,,,,,
250,2016/09/25,Shaab,Residential,3,45غ,400,"460,000","29.34814, 48.02427",1,0,0,0,0,0,0,16,25,11,0,0,0,0,,,,,,,,,,
251,2016/10/30,Sabah Al Ahmed Al Bahreya,Residential,A3,887,622,"105,000","28.67353, 48.36543",0,1,,,,,,,,,,,,,,,,,,,,,,
252,2016/11/03,Fnaitees,Residential,4,412,375,"247,000","29.22237, 48.09421",0,1,,,,,,15,25,9,7,,,,,,,,,,,,,
253,2016/11/23,Abu Ftaira,Residential,6,355,400,"183,000","29.18905, 48.10325",1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
254,2016/10/28,Mishrif,Residential,3,18,750,"480,000","29.28113, 48.07418",1,0,0,0,0,,,20,37.5,4,0,0,0,0,1,2,0,0,0,0,0,28,,
255,2016/12/20,Abu Ftaira,Residential,7,144,400,"193,000","29.18975, 48.10061",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,,,,,,,
256,2017/01/22,Sabah Al Ahmed Al Bahreya,Residential,A3,3392,506,"165,000","28.65711, 48.33561",0,1,0,0,0,1,0,15,33.96,9,11,0,,1,,,,,,,,,,
257,2017/02/08,Sabah Al Ahmed Al Bahreya,Residential,A4,1182,450,"159,000","28.64338, 48.33307",0,1,0,0,0,0,0,15,30,11,20,0,0,1,0,0,,,,,,,,
258,2017/01/31,Salmiya,Residential,12,69,400,"315,000","29.33051, 48.04603",1,0,0,0,0,0,0,16,25,6,0,0,0,0,0,0,0,0,0,1,,,,
259,2017/02/22,Sabah Al Ahmed Al Bahreya,Residential,A3,3787,500,"175,000","28.66568, 48.32412",0,1,0,0,0,0,0,15.25,29,11,24,0,0,1,,,,,,,,,,
260,0217/03/24,Jabriya,Residential,9,732,450,"310,000","29.30963, 48.02582",1,0,0,0,0,0,0,15,30,4,0,,,,,,,,,,,,,
261,2017/02/13,Zahra,Residential,1,518,375,"485,000","29.28032, 48.01018",1,0,0,0,0,0,0,15,25,4,0,0,0,0,1,3,1,0,0,0,1,6,,
262,2017/04/16,Fnaitees,Residential,2,69,400,"207,000","29.22593, 48.08969",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,,,,,,,
263,2017/04/01,Zahra,Residential,1,593,500,"620,000","29.27703, 48.01010",0,0,1,0,0,0,0,20,25,8,0,0,4,0,1,3,1,0,0,0,1,10,,
264,2017/04/06,Fnaitees,Residential,6,288,375,"350,000","29.217448, 48.095357",1,0,0,0,0,0,0,15,25,4,0,0,0,0,0,0,0,,,,,,,
265,2017/04/20,Sabah Al Ahmed Al Bahreya,Residential,A4,2624,431,"157,000","28.64353, 48.35384",0,1,0,0,0,0,0,15,27.73,7,11,0,0,1,0,0,0,0,0,0,,,,
266,2017/04/24,Salmiya,investment lands,15,28,549,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
267,2017/04/30,mangaf,investment lands,63,0,215,"120,000",,,,,,,,,,,,,,,,,,,,,,,,,
268,2017/05/25,Sabah Al Ahmed Al Bahreya,Residential,A4,2238,480,"172,000","28.63455, 48.34003",0,1,0,0,0,0,0,F/16-B/15.75,,7.5,11,,,1,,,,,,,,,,
269,2017/07/30,Mishrif,Residential,3,81,750,"450,000","29.27814, 48.07755",1,0,0,0,0,0,0,20,37.5,4,0,0,0,0,0,0,0,0,0,0,0,0,,
270,2017/08/15,Abu Ftaira,Residential,3,493,375,"240,000","29.209373,48.102199",0,1,0,0,0,0,1,15,25,4,4,0,0,0,0,0,0,0,,,,,,
271,2017/09/10,Sabah Al Ahmed Al Bahreya,Residential,A3,2312,651,"195,000","28.674803,48.340611",0,1,0,0,0,0,0,20.33,32,10,10,0,0,1,,,,,,,,,,
272,2017/09/13,salwa,Residential,6,151,900,"430,000","29.297107,48.071393",1,0,0,0,1,0,0,25,36,5,6,0,0,0,1,,0,,,,,42,,
273,2017/10/16,Sabah Al Ahmed Al Bahreya,Residential,A1,1085,640,"104,000","28.647259,48.374331",1,0,0,0,1,0,1,16,40,6,0,0,0,0,0,0,0,,,,,,,
274,2017/11/01,al-ardiya6,industrial land,2,154,1000,"1,225,000","29.290882,47.919257",1,0,0,0,0,0,0,20,50,11,0,0,0,0,0,0,0,0,,,,,,
275,2018/01/09,Abu Ftaira,Residential,1,58,400,"220,000","29.205221,48.099057",0,0,0,0,0,1,0,16,25,8,0,0,0,0,0,0,0,0,,,,,,
276,2018/01/30,Sabah Al Ahmed Al Bahreya,Residential,A3,3100,450,"168,000","28.665902,48.337380",0,1,0,0,0,0,0,16,28.5,11,12,0,0,1,0,,,,,,,,,
277,2018/02/05,Dasma,Residential,3,173,325,"295,000","29.363182,48.000320",1,0,0,0,0,0,0,13,25,4,0,0,0,0,1,2,,,,,,12,,
278,2018/02/07,Sabah Al Ahmed Al Bahreya,Residential,A3,2766,465,115000,"28.669215,48.363358",0,1,0,0,0,0,0,15.25,30,10,40,0,0,0,0,0,,,,,,,,
279,2018/02/01,al-ardiya6,industrial land,2,154,1000,"1,225,000","29.290882,47.919257",1,0,0,0,0,0,0,20,50,11,0,0,0,0,0,0,,,,,,,,
280,2018/01/11,sabah Al Salem,investment lands,2,,141.54,134000,"29.250731,48.085052",0,0,0,,,,,,,,,,,,,,,,,,,1,,
281,2018/02/27,Jaber Al-Ali,Residential,2,311,392,315000,"29.174216,48.076821",0,1,0,0,0,0,0,14,25,4,40,0,0,0,0,2,1,,,,,5,,
282,2018/03/06,Fnaitees,Residential,2,50,400,215000,"29.226528,48.089558",1,0,0,0,0,0,0,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,
283,2018/03/15,Fnaitees,Residential,5,133,400,280000,"29.221336,48.0897070",0,0,1,0,0,0,0,16,25,14,0,8,0,0,0,0,0,,,,,,,
284,2018/03/27,Abu Ftaira,Residential,5,433,375,260000,"29.191907,48.108760",0,1,0,0,0,0,0,15,25,9,20,0,0,0,0,0,0,0,0,,,,,
285,2018/04/22,Sabah Al Ahmed Al Bahreya,Residential,A2,885,640,95000,"28.673665,48.365108",1,0,0,0,0,0,0,17.3,37,11,0,0,0,0,0,0,0,0,,,,0,,
286,2018/05/03,Sabah Al Ahmed Al Bahreya,Residential,A3,3593,640,230000,"28.673951,48.334499",0,1,0,0,0,0,0,F/33.15-B/16,26.44,16,7,0,0,1,0,0,0,0,0,0,0,0,,
287,2018/05/02,Abu Ftaira,Residential,5,433,375,279000,"29.191907,48.108760",0,1,0,0,0,0,0,15,25,9,20,0,0,0,0,0,0,0,0,0,0,0,,
288,2018/05/24,Fnaitees,Residential,1,157,500,370000,"29.229370,48.095271",0,0,0,1,0,0,0,20,25,7,5,9,0,0,0,0,0,0,0,0,0,0,,
289,2018/05/26,Sabah Al Ahmed Al Bahreya,Residential,A3,3448,740,195000,"28.658843,48.330641",0,1,0,0,0,0,0,F/15.53-B/21.9,40,7,11,0,0,1,0,0,0,0,0,0,0,0,,
290,2018/05/24,Sabah Al Ahmed Al Bahreya,Residential,A4,2694,450,160000,"28.640489,48.354982",0,1,0,0,0,0,0,15.23,29.54,9,11,0,0,1,0,0,0,0,0,0,0,0,,
291,2018/04/26,Dasma,Residential,3,89,325,365000,"29.363204, 47.998905",,,,,,,,,,,,,,,,,,,,,,,,
292,2018/05/13,Fnaitees,Residential,4,192,500,305000,"29.223559,48.096364",0,1,0,0,1,0,0,20,25,4,6,7,0,0,0,0,0,0,0,0,0,0,,
293,2018/04/02,Farwaniya,Commercial building,39,2,500,2000000,"29.281947,47.961698",0,1,0,0,0,0,0,18.12,27,5,2,0,0,0,0,0,0,0,0,0,0,0,,
294,2018/04/24,AL-Masayel,Residential,2,7,500,370000,"29.240394,48.086942",0,1,0,1,0,0,0,20,25,4,11,0,0,0,0,0,0,0,0,0,0,0,,
295,2018/04/24,AL-Masayel,Residential,2,6,500,370000,"29.240926, 48.087195",0,1,0,1,0,0,0,20,25,5,4,0,0,0,0,0,0,0,0,0,0,0,,
